filename;divider;enhancer;lowbandCompressor;lowbandImpulseNumber;lowbandSeparateExcitation;highbandCompressor;highbandImpulseNumber;highbandSeparateExcitation;PEAQ;PESQ
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;4;SepExc;DummyCompressor;;;-3.0486140926000297;2.753
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;SepExc;G7231Compressor;4;SepExc;-3.0607053702740106;3.291
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;SepExc;G7231Compressor;8;SepExc;-2.6472850497926776;3.324
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;SepExc;G7231Compressor;16;SepExc;-2.395068267285043;3.343
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;SepExc;G7231Compressor;32;SepExc;-2.203922820701723;3.354
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;SepExc;G7231Compressor;4;;-3.0059230562650723;3.291
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;SepExc;G7231Compressor;8;;-2.7355794464752865;3.315
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;SepExc;G7231Compressor;16;;-2.5460641883574304;3.338
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;SepExc;G7231Compressor;32;;-2.4589637835332603;3.347
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;8;SepExc;DummyCompressor;;;-2.13052750528283;3.358
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;SepExc;G7231Compressor;4;SepExc;-2.5520689311272795;3.857
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;SepExc;G7231Compressor;8;SepExc;-1.958967115209063;3.892
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;SepExc;G7231Compressor;16;SepExc;-1.593846812858203;3.910
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;SepExc;G7231Compressor;32;SepExc;-1.3662970394929435;3.920
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;SepExc;G7231Compressor;4;;-2.4887140232208074;3.858
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;SepExc;G7231Compressor;8;;-2.054123310342731;3.886
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;SepExc;G7231Compressor;16;;-1.7883693218846393;3.901
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;SepExc;G7231Compressor;32;;-1.6833497270066125;3.907
parole16.WAVSepExc;QMFDivider;HighbandBooster10.0dB;G7231Compressor;16;SepExc;DummyCompressor;;;-1.2729532358984543;3.922
